algorithm,iteration,verification_time_us,steps,repeat
verify_dilithium,1,65,1,1
verify_dilithium,2,72,1,1
verify_dilithium,3,71,1,1
verify_dilithium,4,71,1,1
verify_dilithium,5,77,1,1
verify_dilithium,6,70,1,1
verify_dilithium,7,73,1,1
verify_dilithium,8,71,1,1
verify_dilithium,9,74,1,1
verify_dilithium,10,69,1,1
verify_dilithium,11,73,1,1
verify_dilithium,12,70,1,1
verify_dilithium,13,71,1,1
verify_dilithium,14,69,1,1
verify_dilithium,15,72,1,1
verify_dilithium,16,71,1,1
verify_dilithium,17,72,1,1
verify_dilithium,18,71,1,1
verify_dilithium,19,72,1,1
verify_dilithium,20,71,1,1
verify_dilithium,21,71,1,1
verify_dilithium,22,73,1,1
verify_dilithium,23,70,1,1
verify_dilithium,24,70,1,1
verify_dilithium,25,70,1,1
verify_dilithium,26,72,1,1
verify_dilithium,27,71,1,1
verify_dilithium,28,72,1,1
verify_dilithium,29,71,1,1
verify_dilithium,30,74,1,1
verify_dilithium,31,73,1,1
verify_dilithium,32,71,1,1
verify_dilithium,33,69,1,1
verify_dilithium,34,71,1,1
verify_dilithium,35,73,1,1
verify_dilithium,36,72,1,1
verify_dilithium,37,74,1,1
verify_dilithium,38,73,1,1
verify_dilithium,39,72,1,1
verify_dilithium,40,70,1,1
verify_dilithium,41,70,1,1
verify_dilithium,42,71,1,1
verify_dilithium,43,79,1,1
verify_dilithium,44,82,1,1
verify_dilithium,45,71,1,1
verify_dilithium,46,71,1,1
verify_dilithium,47,70,1,1
verify_dilithium,48,75,1,1
verify_dilithium,49,70,1,1
verify_dilithium,50,71,1,1
verify_dilithium,51,69,1,1
verify_dilithium,52,70,1,1
verify_dilithium,53,69,1,1
verify_dilithium,54,74,1,1
verify_dilithium,55,70,1,1
verify_dilithium,56,73,1,1
verify_dilithium,57,71,1,1
verify_dilithium,58,72,1,1
verify_dilithium,59,74,1,1
verify_dilithium,60,69,1,1
verify_dilithium,61,71,1,1
verify_dilithium,62,73,1,1
verify_dilithium,63,70,1,1
verify_dilithium,64,74,1,1
verify_dilithium,65,73,1,1
verify_dilithium,66,70,1,1
verify_dilithium,67,70,1,1
verify_dilithium,68,75,1,1
verify_dilithium,69,72,1,1
verify_dilithium,70,75,1,1
verify_dilithium,71,111,1,1
verify_dilithium,72,83,1,1
verify_dilithium,73,69,1,1
verify_dilithium,74,73,1,1
verify_dilithium,75,71,1,1
verify_dilithium,76,70,1,1
verify_dilithium,77,72,1,1
verify_dilithium,78,75,1,1
verify_dilithium,79,72,1,1
verify_dilithium,80,72,1,1
verify_dilithium,81,72,1,1
verify_dilithium,82,70,1,1
verify_dilithium,83,70,1,1
verify_dilithium,84,70,1,1
verify_dilithium,85,70,1,1
verify_dilithium,86,155,1,1
verify_dilithium,87,76,1,1
verify_dilithium,88,78,1,1
verify_dilithium,89,71,1,1
verify_dilithium,90,71,1,1
