algorithm,iteration,verification_time_us,steps,repeat
verify_sr25519,1,29,1,1
verify_sr25519,2,30,1,1
verify_sr25519,3,32,1,1
verify_sr25519,4,30,1,1
verify_sr25519,5,29,1,1
verify_sr25519,6,29,1,1
verify_sr25519,7,33,1,1
verify_sr25519,8,28,1,1
verify_sr25519,9,32,1,1
verify_sr25519,10,28,1,1
verify_sr25519,11,31,1,1
verify_sr25519,12,28,1,1
verify_sr25519,13,29,1,1
verify_sr25519,14,28,1,1
verify_sr25519,15,29,1,1
verify_sr25519,16,30,1,1
verify_sr25519,17,37,1,1
verify_sr25519,18,36,1,1
verify_sr25519,19,29,1,1
verify_sr25519,20,30,1,1
verify_sr25519,21,29,1,1
verify_sr25519,22,28,1,1
verify_sr25519,23,28,1,1
verify_sr25519,24,28,1,1
verify_sr25519,25,29,1,1
verify_sr25519,26,28,1,1
verify_sr25519,27,34,1,1
verify_sr25519,28,29,1,1
verify_sr25519,29,33,1,1
verify_sr25519,30,29,1,1
verify_sr25519,31,32,1,1
verify_sr25519,32,29,1,1
verify_sr25519,33,29,1,1
verify_sr25519,34,28,1,1
verify_sr25519,35,28,1,1
verify_sr25519,36,28,1,1
verify_sr25519,37,30,1,1
verify_sr25519,38,28,1,1
verify_sr25519,39,29,1,1
verify_sr25519,40,29,1,1
verify_sr25519,41,30,1,1
verify_sr25519,42,29,1,1
verify_sr25519,43,29,1,1
verify_sr25519,44,32,1,1
verify_sr25519,45,29,1,1
verify_sr25519,46,29,1,1
verify_sr25519,47,28,1,1
verify_sr25519,48,28,1,1
verify_sr25519,49,29,1,1
verify_sr25519,50,28,1,1
verify_sr25519,51,30,1,1
verify_sr25519,52,28,1,1
verify_sr25519,53,29,1,1
verify_sr25519,54,28,1,1
verify_sr25519,55,32,1,1
verify_sr25519,56,32,1,1
verify_sr25519,57,31,1,1
verify_sr25519,58,29,1,1
verify_sr25519,59,29,1,1
verify_sr25519,60,31,1,1
verify_sr25519,61,28,1,1
verify_sr25519,62,30,1,1
verify_sr25519,63,28,1,1
verify_sr25519,64,30,1,1
verify_sr25519,65,29,1,1
verify_sr25519,66,29,1,1
verify_sr25519,67,29,1,1
verify_sr25519,68,29,1,1
verify_sr25519,69,29,1,1
verify_sr25519,70,31,1,1
verify_sr25519,71,28,1,1
verify_sr25519,72,28,1,1
verify_sr25519,73,28,1,1
verify_sr25519,74,29,1,1
verify_sr25519,75,28,1,1
verify_sr25519,76,30,1,1
verify_sr25519,77,28,1,1
verify_sr25519,78,29,1,1
verify_sr25519,79,29,1,1
verify_sr25519,80,29,1,1
verify_sr25519,81,32,1,1
verify_sr25519,82,29,1,1
verify_sr25519,83,28,1,1
verify_sr25519,84,29,1,1
verify_sr25519,85,29,1,1
verify_sr25519,86,28,1,1
verify_sr25519,87,31,1,1
verify_sr25519,88,28,1,1
verify_sr25519,89,30,1,1
verify_sr25519,90,28,1,1
verify_sr25519,91,28,1,1
verify_sr25519,92,28,1,1
verify_sr25519,93,28,1,1
verify_sr25519,94,31,1,1
verify_sr25519,95,32,1,1
verify_sr25519,96,30,1,1
verify_sr25519,97,29,1,1
verify_sr25519,98,30,1,1
verify_sr25519,99,29,1,1
verify_sr25519,100,28,1,1
verify_sr25519,101,29,1,1
verify_sr25519,102,29,1,1
verify_sr25519,103,30,1,1
verify_sr25519,104,28,1,1
verify_sr25519,105,31,1,1
verify_sr25519,106,30,1,1
verify_sr25519,107,28,1,1
verify_sr25519,108,28,1,1
verify_sr25519,109,29,1,1
verify_sr25519,110,28,1,1
verify_sr25519,111,30,1,1
verify_sr25519,112,28,1,1
verify_sr25519,113,29,1,1
verify_sr25519,114,30,1,1
verify_sr25519,115,29,1,1
